restaurant_name,locality,primary_cuisine,price_range,rating_scaled,votes,currency
Pizza Express,sector 7,pizza,medium,1.0,1,Indian Rupees(Rs.)
Anupam Sweets & Restaurant,sector 86,north indian,medium,3.0,10,Indian Rupees(Rs.)
Caramel,sector 86,north indian,medium,2.9,9,Indian Rupees(Rs.)
Chaska Restaurant,sector 86,north indian,medium,3.2,24,Indian Rupees(Rs.)
Club Pizzeria,sector 86,pizza,medium,3.4,19,Indian Rupees(Rs.)
Gupha,sector 86,north indian,medium,2.9,8,Indian Rupees(Rs.)
Indian Gourmet,sector 86,north indian,medium,3.0,8,Indian Rupees(Rs.)
Tandoori Zaaika's,sector 86,north indian,medium,3.2,39,Indian Rupees(Rs.)
TCD Cake & Bake,sector 86,bakery,medium,3.1,10,Indian Rupees(Rs.)
The Grill Darbar,sector 86,north indian,medium,3.3,17,Indian Rupees(Rs.)
Urban Cuisine,sector 86,north indian,medium,3.4,37,Indian Rupees(Rs.)
Mister Mughal,sector 86,mughlai,medium,3.5,33,Indian Rupees(Rs.)
The Hub,sector 9,bakery,low,3.1,9,Indian Rupees(Rs.)
Bake Your Dreamz,sector 9,bakery,high,1.0,3,Indian Rupees(Rs.)
Green Chilly Chinese Food,sector 9,chinese,medium,1.0,2,Indian Rupees(Rs.)
Mom's Kitchen,sector 9,north indian,medium,1.0,1,Indian Rupees(Rs.)
The Baking Treats N More,sector 9,bakery,medium,1.0,0,Indian Rupees(Rs.)
Twin Brothers,"srs mall, sector 12, faridabad",fast food,low,1.0,0,Indian Rupees(Rs.)
Aggarwal Sweets Centre,suraj kund,mithai,low,2.9,4,Indian Rupees(Rs.)
Bawarchi,suraj kund,north indian,medium,3.0,14,Indian Rupees(Rs.)
D ART of Flavour,suraj kund,north indian,medium,2.8,13,Indian Rupees(Rs.)
Italia Cafe by Aura,suraj kund,fast food,medium,2.8,5,Indian Rupees(Rs.)
Pizza Street,suraj kund,fast food,medium,2.6,12,Indian Rupees(Rs.)
Rock Cafe,suraj kund,north indian,medium,3.0,8,Indian Rupees(Rs.)
Sardaar Ji Chaap & Rolls,suraj kund,north indian,medium,3.1,7,Indian Rupees(Rs.)
Spice Wok,suraj kund,north indian,medium,3.1,18,Indian Rupees(Rs.)
Vrindavan Sweets & Restaurant,suraj kund,north indian,medium,3.0,22,Indian Rupees(Rs.)
Yummy Cake,suraj kund,bakery,medium,3.0,4,Indian Rupees(Rs.)
Bikaner Sweets & Bakers,suraj kund,mithai,low,1.0,0,Indian Rupees(Rs.)
Burger Xpress,suraj kund,fast food,medium,1.0,0,Indian Rupees(Rs.)
Da Pizza Zone,suraj kund,italian,medium,1.0,0,Indian Rupees(Rs.)
Finger Licious,suraj kund,fast food,medium,1.0,0,Indian Rupees(Rs.)
Med E Taste,suraj kund,mediterranean,medium,1.0,3,Indian Rupees(Rs.)
Punjabii Tandoor,suraj kund,north indian,medium,1.0,3,Indian Rupees(Rs.)
Shankar Sweets,suraj kund,mithai,low,1.0,0,Indian Rupees(Rs.)
Tasty Bites,suraj kund,south indian,low,1.0,2,Indian Rupees(Rs.)
The Street- Curries & Grills,suraj kund,north indian,medium,1.0,1,Indian Rupees(Rs.)
Bakers Delight - The Atrium,"the atrium, suraj kund",bakery,high,3.0,10,Indian Rupees(Rs.)
On The Rocks - The  Atrium,"the atrium, suraj kund",finger food,high,3.1,18,Indian Rupees(Rs.)
World Cafe - Vibe by The LaLiT Traveller,"vibe by the lalit traveller, mathura road",north indian,high,3.3,56,Indian Rupees(Rs.)
Chaudhary Ke Mashhoor Paranthe,indirapuram,north indian,low,2.8,14,Indian Rupees(Rs.)
Thakur Bakers,indirapuram,bakery,low,3.0,6,Indian Rupees(Rs.)
FoodByMom,indirapuram,north indian,medium,3.6,161,Indian Rupees(Rs.)
Mr. Brown,indirapuram,fast food,medium,3.9,52,Indian Rupees(Rs.)
Mitalis Kitchen,indirapuram,north indian,medium,1.0,1,Indian Rupees(Rs.)
The Big Scoop,kaushambi,ice cream,low,1.0,0,Indian Rupees(Rs.)
9 Mars Lounge,"shipra mall, indirapuram",north indian,high,2.5,184,Indian Rupees(Rs.)
Barista,"shipra mall, indirapuram",cafe,medium,3.4,33,Indian Rupees(Rs.)
Baskin Robbins,"shipra mall, indirapuram",ice cream,medium,3.3,27,Indian Rupees(Rs.)
Burger King,"shipra mall, indirapuram",burger,medium,3.4,327,Indian Rupees(Rs.)
Cafe Coffee Day,"shipra mall, indirapuram",cafe,medium,3.2,63,Indian Rupees(Rs.)
Chinese X'Press,"shipra mall, indirapuram",chinese,medium,2.9,16,Indian Rupees(Rs.)
Cinch,"shipra mall, indirapuram",north indian,high,2.6,92,Indian Rupees(Rs.)
Costa Coffee,"shipra mall, indirapuram",cafe,medium,3.3,60,Indian Rupees(Rs.)
Domino's Pizza,"shipra mall, indirapuram",pizza,high,3.2,17,Indian Rupees(Rs.)
Dosa X'press,"shipra mall, indirapuram",south indian,medium,3.0,6,Indian Rupees(Rs.)
Kebab Xpress,"shipra mall, indirapuram",north indian,medium,2.7,14,Indian Rupees(Rs.)
Let's Noodle,"shipra mall, indirapuram",chinese,high,2.6,181,Indian Rupees(Rs.)
McDonald's,"shipra mall, indirapuram",fast food,medium,3.3,150,Indian Rupees(Rs.)
Mx Corn,"shipra mall, indirapuram",fast food,low,3.1,7,Indian Rupees(Rs.)
Dunkin' Donuts,"shipra mall, indirapuram",burger,medium,3.6,252,Indian Rupees(Rs.)
Haldiram's,"shipra mall, indirapuram",north indian,medium,3.6,187,Indian Rupees(Rs.)
Pind Balluchi,"shipra mall, indirapuram",north indian,high,1.8,322,Indian Rupees(Rs.)
Maini Restaurant,surya nagar,north indian,medium,3.3,114,Indian Rupees(Rs.)
The Dosa King,surya nagar,south indian,medium,3.2,80,Indian Rupees(Rs.)
Baba Au Rhum,anjuna,italian,high,4.5,280,Indian Rupees(Rs.)
Burger Factory,anjuna,fast food,high,4.8,415,Indian Rupees(Rs.)
Club Cubana,anjuna,finger food,high,4.4,646,Indian Rupees(Rs.)
Curlies,"anjuna beach, anjuna",continental,high,3.5,1681,Indian Rupees(Rs.)
La Plage,arambol,seafood,high,4.6,302,Indian Rupees(Rs.)
St. Anthony's,baga,north indian,high,3.8,911,Indian Rupees(Rs.)
Britto's Bar & Restaurant,baga,north indian,high,4.3,2191,Indian Rupees(Rs.)
Fat Fish,baga,north indian,high,4.2,856,Indian Rupees(Rs.)
Martin's Corner,betalbatim,goan,high,4.4,1115,Indian Rupees(Rs.)
Infantaria,calangute,italian,high,3.7,1221,Indian Rupees(Rs.)
Souza Lobo,"calangute beach, calangute",north indian,high,4.3,918,Indian Rupees(Rs.)
Fisherman's Cove,candolim,goan,high,3.8,601,Indian Rupees(Rs.)
Calamari,candolim,goan,high,4.2,414,Indian Rupees(Rs.)
The Fisherman's Wharf,cavelossim,continental,high,4.6,555,Indian Rupees(Rs.)
LPK Waterfront,nerul,finger food,high,3.7,516,Indian Rupees(Rs.)
Ritz Classic,panaji,goan,medium,4.5,840,Indian Rupees(Rs.)
The Black Sheep Bistro,panaji,seafood,high,4.7,681,Indian Rupees(Rs.)
Cafe Al Fresco by Cantina Bodega,panaji,cafe,high,4.3,265,Indian Rupees(Rs.)
The Fisherman's Wharf,panaji,continental,high,4.4,323,Indian Rupees(Rs.)
Antares,vagator,seafood,high,4.2,367,Indian Rupees(Rs.)
K Lab,"ild trade centre mall, sohna road",cafe,medium,3.4,16,Indian Rupees(Rs.)
Pind Balluchi,"ild trade centre mall, sohna road",north indian,high,2.7,80,Indian Rupees(Rs.)
Punjab Grill,"ambience mall, gurgaon",north indian,high,4.3,1887,Indian Rupees(Rs.)
Zambar,"ambience mall, gurgaon",south indian,high,4.0,802,Indian Rupees(Rs.)
Cakes & More,"ansal plaza mall, palam vihar",bakery,low,3.0,4,Indian Rupees(Rs.)
Kwality Wall's Swirl's,"ansal plaza mall, palam vihar",ice cream,low,3.0,5,Indian Rupees(Rs.)
Yo! Dimsum,"ansal plaza mall, palam vihar",chinese,low,3.0,10,Indian Rupees(Rs.)
Mx Corn,"ansal plaza mall, palam vihar",fast food,low,1.0,2,Indian Rupees(Rs.)
Red,ardee city,japanese,high,3.0,57,Indian Rupees(Rs.)
Rocketchefs,ardee city,pizza,medium,3.1,4,Indian Rupees(Rs.)
The Fresh Chicken Store,ardee city,raw meats,medium,2.9,4,Indian Rupees(Rs.)
Achoos Food Corner,ardee city,south indian,medium,1.0,0,Indian Rupees(Rs.)
Aha Bites,ardee city,fast food,medium,1.0,0,Indian Rupees(Rs.)
Ancient Spice,ardee city,north indian,medium,1.0,2,Indian Rupees(Rs.)
Chimney - The Takeaway,ardee city,north indian,medium,1.0,1,Indian Rupees(Rs.)
Costa Coffee,ardee city,cafe,medium,1.0,2,Indian Rupees(Rs.)
Good to Go,ardee city,raw meats,medium,1.0,1,Indian Rupees(Rs.)
Gopi Sweets & Caters,ardee city,mithai,low,1.0,0,Indian Rupees(Rs.)
Late Night Food,ardee city,north indian,medium,1.0,1,Indian Rupees(Rs.)
Lavi Foji Dhaba,ardee city,north indian,low,1.0,0,Indian Rupees(Rs.)
Narayan Fast Food Home,ardee city,north indian,medium,1.0,0,Indian Rupees(Rs.)
OMG Kitchenz,ardee city,south indian,medium,1.0,1,Indian Rupees(Rs.)
OMG Tiffinz,ardee city,north indian,low,1.0,0,Indian Rupees(Rs.)
Sardarji Chicken Point,ardee city,north indian,medium,1.0,1,Indian Rupees(Rs.)
Solty Hotel,ardee city,north indian,low,1.0,0,Indian Rupees(Rs.)
Tanishk Gourmet Indian,ardee city,north indian,high,1.0,0,Indian Rupees(Rs.)
The Burger Chef,ardee city,fast food,medium,1.0,3,Indian Rupees(Rs.)
Club Tokyo - Best Western Skycity Hotel,"best western skycity hotel, sector 15, gurgaon",japanese,high,2.8,13,Indian Rupees(Rs.)
Lattitude - Skycity Hotel,"best western skycity hotel, sector 15, gurgaon",north indian,high,2.9,15,Indian Rupees(Rs.)
Bisque Bakery,"central arcade, dlf phase 2, gurgaon",bakery,medium,3.9,415,Indian Rupees(Rs.)
Behrouz Biryani,"central plaza mall, golf course road",biryani,medium,3.4,36,Indian Rupees(Rs.)
Domino's Pizza,"central plaza mall, golf course road",pizza,high,3.4,104,Indian Rupees(Rs.)
Giani,"central plaza mall, golf course road",ice cream,medium,3.4,70,Indian Rupees(Rs.)
PizzaVito,"central plaza mall, golf course road",italian,high,3.3,218,Indian Rupees(Rs.)
Shawarma House,"central plaza mall, golf course road",lebanese,medium,3.4,225,Indian Rupees(Rs.)
Subway,"central plaza mall, golf course road",american,medium,2.5,150,Indian Rupees(Rs.)
Asian Bistro,"central plaza mall, golf course road",chinese,high,3.8,184,Indian Rupees(Rs.)
BBQ Factory,"central plaza mall, golf course road",north indian,high,3.9,146,Indian Rupees(Rs.)
Faaso's,"central plaza mall, golf course road",north indian,medium,3.6,33,Indian Rupees(Rs.)
Chaayos,"central plaza mall, golf course road",cafe,medium,4.3,48,Indian Rupees(Rs.)
Mosaic - Country Inn & Suites,"country inn & suites by carlson, gurgaon",north indian,high,3.8,91,Indian Rupees(Rs.)
60 ML - Country Inn & Suites by Carlson,"country inn & suites by carlson, sector 12",finger food,high,3.0,7,Indian Rupees(Rs.)
Mosaic - Country Inn & Suites by Carlson,"country inn & suites by carlson, sector 12",continental,high,3.5,37,Indian Rupees(Rs.)
Big Shot Bar - Country Inn & Suites,"country inn & suites by carlson, udyog vihar",chinese,high,3.5,32,Indian Rupees(Rs.)
Mosaic - Country Inn & Suites By Carlson,"country inn & suites, sohna road",north indian,high,3.4,19,Indian Rupees(Rs.)
Downtown Kitchen & Bar - Courtyard by Marriott,"courtyard by marriott, sushant lok",chinese,high,3.2,6,Indian Rupees(Rs.)
Courtyard Grill - Courtyard by Marriott,"courtyard by marriott, sushant lok",chinese,high,1.0,3,Indian Rupees(Rs.)
Di Ghent Boulangerie,"cross point mall, dlf phase 4",cafe,high,3.9,231,Indian Rupees(Rs.)
Khyen Chyen,"cross point mall, dlf phase 4",kashmiri,high,3.7,364,Indian Rupees(Rs.)
The Pint Room,"cross point mall, dlf phase 4",finger food,high,3.7,127,Indian Rupees(Rs.)
Tughlaq,"cross point mall, dlf phase 4",north indian,high,3.5,351,Indian Rupees(Rs.)
Big Wong XL,"cross point mall, dlf phase 4",chinese,high,4.0,162,Indian Rupees(Rs.)
Bunker,"cross point mall, dlf phase 4",continental,high,4.2,248,Indian Rupees(Rs.)
Culture Cafe,"cross point mall, dlf phase 4",mediterranean,high,4.2,144,Indian Rupees(Rs.)
Nowhere Terrace Brewpub Cafe,"cross point mall, dlf phase 4",continental,high,4.1,214,Indian Rupees(Rs.)
Cafe G - Crowne Plaza,"crowne plaza, sector 29",north indian,high,3.9,181,Indian Rupees(Rs.)
Wildfire - Crowne Plaza,"crowne plaza, sector 29",south american,high,3.7,131,Indian Rupees(Rs.)
Isabella,"cyber greens, dlf cyber city",north indian,high,2.8,191,Indian Rupees(Rs.)
Fatburger,"cyber hub, dlf cyber city",american,high,3.3,793,Indian Rupees(Rs.)
Burma Burma,"cyber hub, dlf cyber city",asian,high,4.6,563,Indian Rupees(Rs.)
Pier 38,"cyber hub, dlf cyber city",persian,high,4.6,177,Indian Rupees(Rs.)
Yum Yum Cha,"cyber hub, dlf cyber city",chinese,high,4.5,407,Indian Rupees(Rs.)
Amici Cafe,"cyber hub, dlf cyber city",cafe,high,3.7,647,Indian Rupees(Rs.)
Au Bon Pain,"cyber hub, dlf cyber city",cafe,medium,3.7,503,Indian Rupees(Rs.)
California Pizza Kitchen,"cyber hub, dlf cyber city",pizza,high,3.7,980,Indian Rupees(Rs.)
Chai Point,"cyber hub, dlf cyber city",tea,low,3.7,544,Indian Rupees(Rs.)
Cherry Comet,"cyber hub, dlf cyber city",ice cream,medium,3.6,455,Indian Rupees(Rs.)
Circus,"cyber hub, dlf cyber city",north indian,high,3.9,230,Indian Rupees(Rs.)
Dunkin' Donuts,"cyber hub, dlf cyber city",burger,medium,3.8,701,Indian Rupees(Rs.)
Holy Smoke,"cyber hub, dlf cyber city",steak,high,3.6,313,Indian Rupees(Rs.)
Italiano,"cyber hub, dlf cyber city",italian,high,3.6,625,Indian Rupees(Rs.)
Krispy Kreme,"cyber hub, dlf cyber city",desserts,medium,3.9,425,Indian Rupees(Rs.)
Not Just Paranthas,"cyber hub, dlf cyber city",north indian,high,3.6,734,Indian Rupees(Rs.)
Oh! Calcutta,"cyber hub, dlf cyber city",bengali,high,3.8,706,Indian Rupees(Rs.)
Olive Bistro,"cyber hub, dlf cyber city",mediterranean,high,3.9,1490,Indian Rupees(Rs.)
Pita Pit,"cyber hub, dlf cyber city",healthy food,medium,3.9,870,Indian Rupees(Rs.)
Raasta,"cyber hub, dlf cyber city",continental,high,3.8,1065,Indian Rupees(Rs.)
Red Mango,"cyber hub, dlf cyber city",cafe,high,3.6,365,Indian Rupees(Rs.)
Rred Hot Asian Bistro,"cyber hub, dlf cyber city",chinese,high,3.5,384,Indian Rupees(Rs.)
Smaaash,"cyber hub, dlf cyber city",north indian,high,3.9,622,Indian Rupees(Rs.)
Starbucks,"cyber hub, dlf cyber city",cafe,high,3.9,560,Indian Rupees(Rs.)
Sutra Gastropub,"cyber hub, dlf cyber city",mediterranean,high,3.8,1046,Indian Rupees(Rs.)
Taco Bell,"cyber hub, dlf cyber city",mexican,medium,3.8,176,Indian Rupees(Rs.)
The People & Co.,"cyber hub, dlf cyber city",continental,high,3.7,173,Indian Rupees(Rs.)
Theobroma,"cyber hub, dlf cyber city",bakery,medium,3.8,227,Indian Rupees(Rs.)
Wendy's,"cyber hub, dlf cyber city",burger,medium,3.9,296,Indian Rupees(Rs.)
The Wine Company,"cyber hub, dlf cyber city",italian,high,2.4,2412,Indian Rupees(Rs.)
Cafe Delhi Heights,"cyber hub, dlf cyber city",continental,high,4.0,1840,Indian Rupees(Rs.)
Cyber Hub Social,"cyber hub, dlf cyber city",continental,high,4.3,716,Indian Rupees(Rs.)
Delifrance - The France Cafe Bakery,"cyber hub, dlf cyber city",cafe,high,4.0,199,Indian Rupees(Rs.)
Dhaba By Claridges,"cyber hub, dlf cyber city",north indian,high,4.0,1658,Indian Rupees(Rs.)
Farzi Cafe,"cyber hub, dlf cyber city",modern indian,high,4.3,4385,Indian Rupees(Rs.)
Hard Rock Cafe,"cyber hub, dlf cyber city",mediterranean,high,4.1,1949,Indian Rupees(Rs.)
Instapizza,"cyber hub, dlf cyber city",pizza,high,4.0,219,Indian Rupees(Rs.)
Made In Punjab,"cyber hub, dlf cyber city",north indian,high,4.0,1595,Indian Rupees(Rs.)
Nando's,"cyber hub, dlf cyber city",portuguese,high,4.0,1730,Indian Rupees(Rs.)
Quaff,"cyber hub, dlf cyber city",american,high,4.1,353,Indian Rupees(Rs.)
SodaBottleOpenerWala,"cyber hub, dlf cyber city",parsi,high,4.0,2843,Indian Rupees(Rs.)
The Grill Mill,"cyber hub, dlf cyber city",north indian,high,4.0,209,Indian Rupees(Rs.)
Knight Rider,dlf cyber city,north indian,high,3.1,185,Indian Rupees(Rs.)
Chaayos,dlf cyber city,cafe,medium,3.8,393,Indian Rupees(Rs.)
Nooba,dlf cyber city,chinese,high,3.8,333,Indian Rupees(Rs.)
Domino's Pizza,dlf cyber city,pizza,high,2.4,125,Indian Rupees(Rs.)
Indigo Delicatessen,dlf cyber city,european,high,4.2,205,Indian Rupees(Rs.)
Escape Terrace Bar Kitchen,"dlf galleria, dlf phase 4",finger food,high,3.4,294,Indian Rupees(Rs.)
Kwaliti,"dlf galleria, dlf phase 4",north indian,high,3.3,129,Indian Rupees(Rs.)
Subway,"dlf galleria, dlf phase 4",american,medium,2.5,125,Indian Rupees(Rs.)
Burger Point,"dlf galleria, dlf phase 4",burger,medium,3.8,74,Indian Rupees(Rs.)
Chaat Chowk,"dlf galleria, dlf phase 4",street food,medium,3.7,217,Indian Rupees(Rs.)
Chef Style,"dlf galleria, dlf phase 4",north indian,high,3.8,239,Indian Rupees(Rs.)
Delhicacy,"dlf galleria, dlf phase 4",street food,medium,3.8,317,Indian Rupees(Rs.)
Dimsum & Co.,"dlf galleria, dlf phase 4",chinese,medium,3.9,136,Indian Rupees(Rs.)
Instapizza,"dlf galleria, dlf phase 4",pizza,high,3.6,426,Indian Rupees(Rs.)
L'Opera,"dlf galleria, dlf phase 4",bakery,medium,3.8,196,Indian Rupees(Rs.)
Lazeez Food,"dlf galleria, dlf phase 4",mughlai,high,3.5,173,Indian Rupees(Rs.)
Le Marche Sugar & Spice Cafe,"dlf galleria, dlf phase 4",cafe,high,3.5,52,Indian Rupees(Rs.)
The Breakfast Club,"dlf galleria, dlf phase 4",continental,medium,3.5,189,Indian Rupees(Rs.)
Sugar & Spice - Le Marche,"dlf galleria, dlf phase 4",bakery,high,2.4,88,Indian Rupees(Rs.)
Crudo Juicery,"dlf galleria, dlf phase 4",beverages,medium,4.3,154,Indian Rupees(Rs.)
Fork with Stick,"dlf galleria, dlf phase 4",chinese,high,4.0,169,Indian Rupees(Rs.)
Uptown Fresh Beer Cafe,"dlf galleria, dlf phase 4",finger food,high,4.1,230,Indian Rupees(Rs.)
Barista,"dlf mega mall, dlf phase 1",cafe,medium,3.2,18,Indian Rupees(Rs.)
Cafe Coffee Day,"dlf mega mall, dlf phase 1",cafe,medium,2.6,27,Indian Rupees(Rs.)
Domino's Pizza,"dlf mega mall, dlf phase 1",pizza,high,2.8,30,Indian Rupees(Rs.)
Italiano,"dlf mega mall, dlf phase 1",italian,high,3.0,49,Indian Rupees(Rs.)
McDonald's,"dlf mega mall, dlf phase 1",fast food,medium,2.6,30,Indian Rupees(Rs.)
Parantha Gurus,"dlf mega mall, dlf phase 1",north indian,medium,3.3,27,Indian Rupees(Rs.)
Pizza Hut Delivery,"dlf mega mall, dlf phase 1",italian,high,2.8,29,Indian Rupees(Rs.)
Sibang Bakery,"dlf mega mall, dlf phase 1",bakery,medium,3.3,13,Indian Rupees(Rs.)
Sonya Bakery Cafe,"dlf mega mall, dlf phase 1",bakery,medium,3.3,20,Indian Rupees(Rs.)
Subway,"dlf mega mall, dlf phase 1",american,medium,3.1,46,Indian Rupees(Rs.)
Viva Hyderabad,"dlf mega mall, dlf phase 1",biryani,medium,2.5,69,Indian Rupees(Rs.)
7 Barrel Brew Pub,"dlf mega mall, dlf phase 1",north indian,high,3.9,490,Indian Rupees(Rs.)
Wai Yu Mun Ching,"dlf mega mall, dlf phase 1",chinese,high,3.5,112,Indian Rupees(Rs.)
Baskin Robbins,"dlf mega mall, dlf phase 1",ice cream,medium,1.0,3,Indian Rupees(Rs.)
KFC,"dlf mega mall, dlf phase 1",american,medium,2.2,73,Indian Rupees(Rs.)
Burmese Kitchen Plus,dlf phase 1,burmese,high,3.4,65,Indian Rupees(Rs.)
Drinks Come True,dlf phase 1,beverages,low,3.1,9,Indian Rupees(Rs.)
Eat All Nite,dlf phase 1,north indian,high,3.2,184,Indian Rupees(Rs.)
Frontier,dlf phase 1,bakery,low,2.9,4,Indian Rupees(Rs.)
GenY Cuisines,dlf phase 1,chinese,low,3.0,4,Indian Rupees(Rs.)
K Raga's,dlf phase 1,north indian,medium,2.9,5,Indian Rupees(Rs.)
Kangri,dlf phase 1,kashmiri,high,3.4,84,Indian Rupees(Rs.)
Makhmali Kebabs,dlf phase 1,mughlai,medium,3.2,10,Indian Rupees(Rs.)
Masala Ville,dlf phase 1,north indian,medium,3.2,15,Indian Rupees(Rs.)
Night Food Xprs,dlf phase 1,chinese,medium,3.1,12,Indian Rupees(Rs.)
Roti Boti,dlf phase 1,north indian,high,2.9,35,Indian Rupees(Rs.)
Sama Chicken Biryani,dlf phase 1,biryani,low,2.9,4,Indian Rupees(Rs.)
Subway,dlf phase 1,american,medium,2.8,54,Indian Rupees(Rs.)
The Rolling Pin Bakery,dlf phase 1,bakery,medium,3.1,10,Indian Rupees(Rs.)
Weird Time Food,dlf phase 1,continental,medium,3.1,7,Indian Rupees(Rs.)
Twigly,dlf phase 1,continental,medium,4.6,395,Indian Rupees(Rs.)
Asian Haus,dlf phase 1,chinese,high,3.9,360,Indian Rupees(Rs.)
Beyond Breads,dlf phase 1,bakery,low,3.8,326,Indian Rupees(Rs.)
Biryani By Kilo,dlf phase 1,biryani,high,3.9,403,Indian Rupees(Rs.)
Captain Grub,dlf phase 1,american,high,3.8,447,Indian Rupees(Rs.)
Pita Pit,dlf phase 1,healthy food,medium,3.5,56,Indian Rupees(Rs.)
Rawleaf,dlf phase 1,healthy food,high,3.6,38,Indian Rupees(Rs.)
Sushi Haus,dlf phase 1,japanese,high,3.8,124,Indian Rupees(Rs.)
Eggzellent,dlf phase 1,fast food,low,1.0,1,Indian Rupees(Rs.)
High On Tea,dlf phase 1,cafe,medium,1.0,3,Indian Rupees(Rs.)
Sona Bridge Hotel,dlf phase 1,chinese,medium,1.0,2,Indian Rupees(Rs.)
Yo! Dimsum,dlf phase 1,fast food,low,1.0,1,Indian Rupees(Rs.)
Angrezee Choupal,dlf phase 2,north indian,medium,3.8,299,Indian Rupees(Rs.)
Ashoka Snacks Corner,dlf phase 2,street food,medium,1.0,0,Indian Rupees(Rs.)
Chefoncalls,dlf phase 2,north indian,medium,1.0,0,Indian Rupees(Rs.)
Corp Kitchen,dlf phase 2,north indian,medium,1.0,0,Indian Rupees(Rs.)
Good Food,dlf phase 2,healthy food,low,1.0,0,Indian Rupees(Rs.)
Mahek By Greenz,dlf phase 2,north indian,medium,1.0,0,Indian Rupees(Rs.)
Pao King,dlf phase 2,street food,low,1.0,0,Indian Rupees(Rs.)
Prabhat Fast Food Corner,dlf phase 2,chinese,low,1.0,1,Indian Rupees(Rs.)
Shama Chicken Corner,dlf phase 2,mughlai,medium,1.0,0,Indian Rupees(Rs.)
Unique Food Hut,dlf phase 2,fast food,medium,1.0,0,Indian Rupees(Rs.)
A 1 - Snacks and food corner,dlf phase 3,north indian,medium,2.5,16,Indian Rupees(Rs.)
Anandum,dlf phase 3,south indian,medium,3.2,13,Indian Rupees(Rs.)
Apni Rasoi,dlf phase 3,north indian,medium,3.0,160,Indian Rupees(Rs.)
Banke Bihari Bhojanalay,dlf phase 3,mithai,low,2.6,36,Indian Rupees(Rs.)
Biryani 365,dlf phase 3,mughlai,high,3.2,17,Indian Rupees(Rs.)
Bro's Kitchenette,dlf phase 3,fast food,medium,3.3,11,Indian Rupees(Rs.)
Cafe Coffee Day,dlf phase 3,cafe,medium,3.1,9,Indian Rupees(Rs.)
Cafe Coffee Day,dlf phase 3,cafe,medium,3.2,26,Indian Rupees(Rs.)
Cafe Du Rendezvous,dlf phase 3,cafe,medium,3.2,21,Indian Rupees(Rs.)
Cake 24x7,dlf phase 3,bakery,medium,3.3,25,Indian Rupees(Rs.)
Cake On Wheels,dlf phase 3,bakery,low,2.8,18,Indian Rupees(Rs.)
Cake Point,dlf phase 3,bakery,medium,2.9,7,Indian Rupees(Rs.)
Cake Point,dlf phase 3,bakery,medium,3.0,35,Indian Rupees(Rs.)
Cakes Degree,dlf phase 3,bakery,medium,3.4,18,Indian Rupees(Rs.)
Chateau Garlic,dlf phase 3,north indian,high,3.0,14,Indian Rupees(Rs.)
Chennai Express,dlf phase 3,south indian,medium,3.2,15,Indian Rupees(Rs.)
Crust N Cakes,dlf phase 3,bakery,medium,3.4,18,Indian Rupees(Rs.)
Dabba Meat,dlf phase 3,north indian,medium,3.4,29,Indian Rupees(Rs.)
Deepak Rasoi,dlf phase 3,north indian,medium,2.7,22,Indian Rupees(Rs.)
Foodaucity - Bum Bum Bholey Ke Chole Bhature,dlf phase 3,street food,medium,3.3,14,Indian Rupees(Rs.)
Foodies Nation,dlf phase 3,chinese,medium,3.4,19,Indian Rupees(Rs.)
Goli Vada Pav No. 1,dlf phase 3,street food,low,3.1,83,Indian Rupees(Rs.)
Grandma's Kitchen,dlf phase 3,north indian,medium,2.5,20,Indian Rupees(Rs.)
Gurgaon Hights,dlf phase 3,north indian,medium,2.5,19,Indian Rupees(Rs.)
Idliss,dlf phase 3,south indian,medium,3.4,359,Indian Rupees(Rs.)
Indian Home Food,dlf phase 3,north indian,medium,2.6,51,Indian Rupees(Rs.)
Jetha Lal Ka Dhabha,dlf phase 3,north indian,medium,3.1,53,Indian Rupees(Rs.)
Kusum Rolls,dlf phase 3,fast food,medium,3.1,71,Indian Rupees(Rs.)
Megha Vaishno Dhaba,dlf phase 3,north indian,medium,3.1,33,Indian Rupees(Rs.)
Nikhil Food Point,dlf phase 3,chinese,low,2.7,19,Indian Rupees(Rs.)
Plan B,dlf phase 3,north indian,high,3.4,132,Indian Rupees(Rs.)
Punjabi Zaika,dlf phase 3,north indian,medium,3.2,74,Indian Rupees(Rs.)
Rasoi,dlf phase 3,north indian,medium,3.0,6,Indian Rupees(Rs.)
Roll's Royce,dlf phase 3,fast food,low,3.2,42,Indian Rupees(Rs.)
Shree Bikaner Misthan Bhandar,dlf phase 3,street food,low,3.1,29,Indian Rupees(Rs.)
Smokey Pan,dlf phase 3,north indian,medium,3.2,14,Indian Rupees(Rs.)
Surprise O Meal,dlf phase 3,continental,medium,3.4,35,Indian Rupees(Rs.)
Tandoor on The Way,dlf phase 3,fast food,medium,3.2,45,Indian Rupees(Rs.)
Tawa N Tandoor,dlf phase 3,north indian,medium,2.7,51,Indian Rupees(Rs.)
The Paradise Biryani,dlf phase 3,biryani,high,2.9,22,Indian Rupees(Rs.)
The Royal,dlf phase 3,fast food,medium,3.3,15,Indian Rupees(Rs.)
Theka Desi Khaana,dlf phase 3,north indian,medium,3.0,12,Indian Rupees(Rs.)
Tobasco Kitchen,dlf phase 3,fast food,medium,3.2,38,Indian Rupees(Rs.)
Tpot,dlf phase 3,fast food,medium,3.2,15,Indian Rupees(Rs.)
